CAPEC,technique,CAPEC name,technique name,BoW link probability,spaCy link probability,BERT link probability,CWEs,Tactics,CAPEC original ID,Technique original ID
capec_00581,technique_00580,Accessing Functionality Not Properly Constrained by ACLs,Reflective Code Loading,0.57,0.46,0.36,"['Incorrect Permission Assignment for Critical Resource', 'Binding to an Unrestricted IP Address', 'Improper Translation of Security Attributes by Fabric Bridge', 'Improper Protection for Out of Bounds Signal Level Alerts', 'Incorrect Default Permissions', 'Unprotected Confidential Information on Device is Accessible by OSAT Vendors', ""Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution')"", 'Improper Authorization', 'Power-On of Untrusted Execution Core Before Enabling Fabric Access Control', 'Missing Write Protection for Parametric Data Values', 'Missing Support for Security Features in On-chip Fabrics or Buses', 'Unrestricted Upload of File with Dangerous Type', 'Insufficient Granularity of Access Control', 'Protection Mechanism Failure', 'Improper Setting of Bus Controlling Capability in Fabric End-point']",['defense-evasion'],1,T1620
capec_00582,technique_00580,Inducing Account Lockout,Reflective Code Loading,0.25,0.5,0.62,['Overly Restrictive Account Lockout Mechanism'],['defense-evasion'],2,T1620
capec_00583,technique_00580,Using Leading 'Ghost' Character Sequences to Bypass Input Filters,Reflective Code Loading,0.42,0.38,0.31,"['Improper Input Validation', ""Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')"", 'Improper Neutralization', 'Improper Handling of Alternate Encoding', 'Incorrect Comparison', 'Incomplete List of Disallowed Inputs', 'Incorrect Behavior Order: Early Validation', 'Encoding Error', 'Permissive List of Allowed Inputs', 'Incorrect Behavior Order: Validate Before Filter', 'Incorrect Behavior Order: Validate Before Canonicalize', 'Improper Resolution of Path Equivalence']",['defense-evasion'],3,T1620
capec_00584,technique_00580,Using Alternative IP Address Encodings,Reflective Code Loading,0.1,0.34,0.31,"['Reliance on IP Address for Authentication', 'Improper Handling of Alternate Encoding']",['defense-evasion'],4,T1620
capec_00585,technique_00580,Blue Boxing,Reflective Code Loading,0.16,0.51,0.38,['Improper Authorization'],['defense-evasion'],5,T1620
capec_00586,technique_00580,Argument Injection,Reflective Code Loading,0.02,0.21,0.33,"['Improper Neutralization of Expression/Command Delimiters', ""Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')"", 'Incorrect Regular Expression', 'Incorrect Comparison', 'Incomplete List of Disallowed Inputs', ""Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')""]",['defense-evasion'],6,T1620
capec_00587,technique_00580,Blind SQL Injection,Reflective Code Loading,0.06,0.17,0.13,"['Improper Input Validation', ""Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')"", 'Improper Neutralization', 'Incorrect Comparison', 'Generation of Error Message Containing Sensitive Information', ""Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')""]",['defense-evasion'],7,T1620
capec_00588,technique_00580,Buffer Overflow in an API Call,Reflective Code Loading,0.04,0.22,0.14,"['Improper Input Validation', ""Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')"", ""Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')"", 'Incorrect Comparison', 'Compiler Optimization Removal or Modification of Security-critical Code', 'Improper Restriction of Operations within the Bounds of a Memory Buffer', 'Integer Overflow to Buffer Overflow', ""Incorrect Access of Indexable Resource ('Range Error')""]",['defense-evasion'],8,T1620
capec_00589,technique_00580,Buffer Overflow in Local Command-Line Utilities,Reflective Code Loading,0.04,0.25,0.16,"['Improper Input Validation', ""Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')"", ""Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')"", 'Incorrect Comparison', 'Compiler Optimization Removal or Modification of Security-critical Code', 'Improper Restriction of Operations within the Bounds of a Memory Buffer', 'Integer Overflow to Buffer Overflow', ""Incorrect Access of Indexable Resource ('Range Error')""]",['defense-evasion'],9,T1620
capec_00590,technique_00580,Buffer Overflow via Environment Variables,Reflective Code Loading,0.16,0.18,0.2,"['Improper Input Validation', ""Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')"", ""Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')"", 'Authentication Bypass by Assumed-Immutable Data', 'Incorrect Comparison', 'Compiler Optimization Removal or Modification of Security-critical Code', 'Improper Restriction of Operations within the Bounds of a Memory Buffer', 'Integer Overflow to Buffer Overflow', ""Improper Control of Resource Identifiers ('Resource Injection')"", ""Incorrect Access of Indexable Resource ('Range Error')""]",['defense-evasion'],10,T1620
